,snid,Redshift,SN_RA,SN_DEC,HOST_RA,HOST_DEC,dDLR,U-R,(U-R)_v3,LOGMASS,LOGMASS_lowerr,LOGMASS_uppererr,LOG10SFR,SFR,SFR_lowerr,SFR_uppererr,Notes
0,2021aabw,0.032,82.409425,-23.9926389,82.4082109,-23.9940734,1.6371437390162300,0.91356318404965,1.112,10.02,0.047,0.231,0.007,1.0162486928707000,0.231,0.325,
1,2021aafz,0.066248,31.0776667,-44.7529778,31.0775342,-44.753206,0.8408132498298040,1.52592,1.561,9.826,0.124,0.15,-10.0,1e-10,0.0,9.056,
2,2021aaga,0.04,84.953725,-40.9772083,84.9422621,-40.9789195,11.668426073473900,1.53255684288753,1.212,9.426,0.081,0.169,-1.03,0.0933254300796991,0.361,0.528,
3,2021aatq,0.06,114.1306625,-1.5881806,114.12794300000000,-1.5883500000000000,2.181136845483830,1.3440087062155600,-0.455,10.443,0.166,0.237,1.794,62.23002851691600,0.105,0.039,
4,2021aazj,0.062,74.1835958,-16.6487833,74.1850441833,-16.6490429296,1.5967458260390200,1.18245812447543,1.876,10.677,0.026,0.383,-0.881,0.13152248321922400,9.119,1.636,
5,2021abds,0.07,356.7795,-15.5336944,356.77856630000000,-15.5334717,3.1500507021346200,0.958017056806184,0.895,8.451,0.243,0.32,-1.574,0.026668586645214800,6.551,1.607,
6,2021abiu,0.054,119.1854292,-2.9945333,119.1839837,-2.9937679,0.9062593942267270,1.7838882636493000,2.062,11.395,0.35,0.092,-2.388,0.00409260659730011,7.612,3.393,
7,2021abko,0.015908,30.5301625,23.5501722,30.530403900000000,23.5498653,0.2419925164069680,1.2567163981612,1.932,10.14,0.106,0.405,-1.472,0.03372873086588690,8.528,1.403,
8,2021abmp,0.022287,11.1765208,-38.1838472,11.1746615,-38.182806,1.448831730788660,0.948438,1.192,9.216,0.089,0.073,-2.845,0.0014288939585111000,1.375,2.393,
9,2021aceo,0.048,136.3544458,-7.8145278,136.3566435,-7.814396300000000,1.7787503846318200,0.785996018238322,0.812,9.797,0.047,0.09,0.041,1.099005839432520,0.154,0.403,
10,2021aclv,0.018279,14.4807125,-5.1317389,14.480671300000000,-5.130248,0.37386126971790700,0.898570135104862,1.513,10.565,0.19,0.235,0.356,2.269864851883820,6.65,0.37,
11,2021acnt,0.008,145.4285,-28.2024889,145.4296679,-28.1913434,1.9907039531007300,1.7838882636493000,1.404,9.816,0.371,0.114,-0.202,0.628058358813318,0.414,0.166,
12,2021acnx,0.029,70.57395,6.8758417,70.573541025,6.877355093055560,2.328486891547230,0.8816844203268350,0.627,9.271,0.14,0.157,-0.676,0.21086281499332900,0.718,0.116,
13,2021acxb,0.0641,49.9027958,-27.4940333,49.90494750000000,-27.4965438,2.5346345360299700,0.940432846995975,1.812,10.992,0.107,0.252,-0.3,0.5011872336272720,9.7,0.959,
14,2021adlt,0.021,69.7994958,6.3734389,69.79854140000000,6.3725593,0.9201249290166250,0.7120690336284240,1.367,9.807,0.098,0.13,-0.009,0.9794899854086990,7.818,0.321,
15,2021adlz,0.029,157.5367,12.0613944,157.53682303625000,12.060967169722200,2.291199430351790,0.9160534623972300,0.628,7.515,0.391,0.213,-1.99,0.010232929922807500,2.484,1.206,
16,2021adoz,0.056,125.4689042,8.0814861,125.46968440000000,8.083000500000000,2.1008843445628400,-0.5181997264763400,0.704,9.042,0.197,0.222,-0.16,0.6918309709189370,6.446,1.346,
17,2021adug,0.0735,13.5491042,-14.9698444,13.551082000000000,-14.9695628,4.545505173206070,0.615483263127672,0.997,9.947,0.073,0.132,0.301,1.9998618696327400,0.693,0.393,
18,2021aeca,0.052,124.6304333,-14.7222833,124.63005400000000,-14.721604,0.6537052039219730,0.904448281664258,1.634,10.587,0.087,0.273,0.496,3.1332857243155900,10.496,0.309,
19,2021aefx,0.00473963,64.9721667,-54.9479444,65.00164170000000,-54.93794390000000,3.2139110788780100,0.67934,0.926,10.411,0.027,0.018,0.545,3.5075187395256800,0.198,0.158,
20,2021aexy,0.039,48.9743625,-23.0448222,48.97706965208330,-23.043557211944400,4.250652880068770,0.0781112252833082,0.575,8.616,0.169,0.154,-0.928,0.11803206356517300,0.061,0.041,
21,2021afeb,0.0553,15.068499,-15.2983343,15.066281,-15.2995766,1.0615742655173000,1.0113102332282200,1.737,11.352,0.197,0.111,1.198,15.776112696993500,0.476,0.098,
22,2021afue,0.04223,154.4560625,-7.4067611,154.45423080000000,-7.4062431,1.0745192944372800,0.93779753518136,1.727,10.836,0.171,0.142,0.685,4.841723675840990,10.685,0.063,
23,2021agbv,0.052,29.167725,-14.130075,29.1682596,-14.1300215,0.8188300899631740,-0.0116418983522237,0.662,9.324,0.329,0.272,-0.319,0.4797334486366890,4.858,1.365,
24,2021agjd,0.044,11.8689958,14.7528639,11.868843700000000,14.7504868,4.51684574265637,0.4049681229935660,1.015,9.307,0.313,0.265,-0.112,0.7726805850957020,9.888,0.254,
25,2021aglf,0.048,22.5680375,20.6004056,22.5680144,20.5999283,0.3109484881237930,1.0113102332282200,1.521,10.847,0.249,0.264,0.907,8.072350302488380,10.907,0.114,
26,2021ckc,0.053072,178.6487242,25.3834417,178.64948600000000,25.382189,1.9050691745931000,0.898570135104862,1.355,10.206,0.218,0.297,0.359,2.28559880337543,10.359,0.148,
