snid,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
2018gv,150,0.00602,0.00085,0.00596,0.00015,0.0051,0.00015,12.6572,0.349206,31.9102,0.350249,32.0504,1,0,-0.112311,0.031402,0.12088,0.053583,12.3829,0.0459817,0.19992,0.00846668,-0.000416767,0.000100383,-0.000208687,121.394,-11.4379,121.4085,-11.42703,-9.0,-18.777,250,0.0498206,10.06,-9.0,58150.6,0.0963,28,115.071,1.61e-12,0.0694,0.3075,0.0384,0.004,1.0,0.003
2017erp,150,0.00677,0.00085,0.00727,0.00015,0.00662,0.00015,12.9199,0.370142,32.1729,0.371125,32.2221,1,0,0.071172,0.039678,0.47218,0.19972,13.0751,0.06548,0.10567,0.00637306,-0.00231035,0.000371887,-0.000196343,227.312,-11.3342,227.31704,-11.32167,-9.0,147.138,250,0.0926627,10.591,-9.0,57934.9,0.3455,18,15.34,0.70076,0.0933,0.2736,-0.0476,0.005,1.0,0.016
PSNJ0717457,150,0.00861,0.00084,0.00812,1e-05,0.00759,1e-05,13.4693,0.382481,32.7223,0.383433,-9.0,0,0,0.028562,0.034936,-0.210958,0.19984,13.6936,0.0544566,0.0597801,0.00299835,0.00116827,-0.000114967,-8.48e-05,109.44,23.3446,109.420754,23.356744,-9.0,-143.618,250,0.0576285,9.38921,0.001,57157.1,0.1461,4,1.38639,0.84656,0.0744,0.2128,0.0525,0.005,1.0,0.02
ASASSN-16jf,150,0.01096,0.00084,0.0104,1e-05,0.01144,1e-05,14.3179,0.313698,33.5709,0.314858,-9.0,0,0,-0.031719,0.042517,-1.97973,0.15325,14.6019,0.0491948,0.0258962,0.00117336,2e-05,-5.54e-05,-4.22e-05,339.247,-25.232,339.262513,-25.236411,-9.0,-166.92,250,0.0203573,8.01649,0.013,57629.9,0.2221,8,25.7163,0.00117435,0.0997,0.1673,0.0376,0.004,1.0,0.008
AT2017cfd,150,0.01304,0.00086,0.01222,0.00016,0.01208,0.00016,14.3222,0.291315,33.5752,0.292564,-9.0,0,0,0.050626,0.034477,-0.52942,0.093523,14.5702,0.040821,0.0266644,0.00100251,-0.000302692,-9.4e-06,-2.92e-05,130.204,73.4875,130.210241,73.486765,-9.0,-244.554,250,0.0190022,10.6316,0.001,57843.6,0.1046,7,37.2323,4.24e-06,0.0791,0.1441,-0.0391,0.002,1.0,0.012
ASASSN-16dn,150,0.01411,0.00085,0.01406,0.0001,0.01285,0.0001,14.5676,0.249416,33.8206,0.250873,-9.0,0,0,-0.093154,0.031125,0.47579,0.075765,14.3115,0.0416428,0.0338383,0.00129785,-2.57e-05,-8.17e-06,-3.47e-05,162.206,-20.2639,162.2031,-20.26319,-9.0,-13.3692,250,0.0326925,8.03684,0.017,57489.9,0.0726,14,34.736,0.00160814,0.0658,0.1317,0.0497,0.002,1.0,0.006
ASASSN-16la,150,0.01424,0.00085,0.01424,4e-05,0.01506,4e-05,14.5914,0.264112,33.8444,0.265489,-9.0,0,0,-0.102335,0.04358,0.83157,0.13455,14.2599,0.11928,0.0354855,0.00389851,-0.000337668,4.87e-05,-0.000140405,37.3226,18.0879,37.321667,18.087806,-9.0,-1.3947,250,0.17993,8.23133,0.001,57671.7,0.1204,8,2.47053,0.96309,0.078,0.1305,0.0552,0.002,1.0,0.005
PSNJ2043531,150,0.01492,0.00085,0.01449,2e-05,0.01549,2e-05,14.9372,0.371694,34.1902,0.372674,-9.0,0,0,0.093402,0.043301,-2.55527,0.14723,15.7365,0.0711861,0.00910719,0.000597112,0.000584583,-1.67e-05,-1.96e-05,310.972,12.5085,310.97379,12.51192,-9.0,-126.778,250,0.0857212,7.58761,0.001,57226.0,0.1665,10,19.8017,0.0311845,0.0953,0.1246,0.0811,0.008,1.0,0.035
ATLAS16cxr,150,0.01542,0.00131,0.01518,0.001,0.01552,0.001,15.0896,0.371909,34.3426,0.372888,-9.0,0,0,0.04603,0.03762,-0.04908,0.092512,15.3569,0.0808418,0.0129198,0.000961983,-0.000195379,2.76e-06,-2.88e-05,272.027,25.4088,272.02692,25.40884,-9.0,-72.364,250,0.11019,7.98113,0.002,57666.6,0.0907,8,20.0661,0.010089,0.0735,0.1859,0.0653,0.003,1.0,0.023
ASASSN-16ip,150,0.01678,0.00085,0.01632,0.0001,0.01701,0.0001,14.9149,0.244992,34.1679,0.246475,-9.0,0,0,-0.020215,0.033544,-0.877386,0.10684,15.0537,0.0393195,0.0170807,0.000618571,-5.48e-05,-1.26e-05,-1.81e-05,36.8407,-23.9287,36.840871,-23.92876,-9.0,-135.07,250,0.016838,9.75333,0.006,57619.3,0.1387,13,46.8986,1.01e-05,0.0757,0.1109,0.0195,0.002,1.0,0.01
ASASSN-15kx,150,0.0172,0.00085,0.01697,8e-05,0.01802,8e-05,15.3554,0.21815,34.6084,0.219814,-9.0,0,0,-0.09556,0.042094,-1.45347,0.14555,15.361,0.09954,0.0128712,0.00118003,0.000146002,-1.06e-05,-3.95e-05,334.049,37.4738,334.049529,37.474586,-9.0,-70.1331,250,0.14108,10.5578,0.028,57191.6,0.1556,10,12.1339,0.2762,0.0826,0.1082,0.0342,0.001,1.0,0.003
ASASSN-17co,150,0.01826,0.00086,0.01791,0.00015,0.01826,0.00015,14.9475,0.279266,34.2005,0.280568,-9.0,0,0,0.10393,0.038877,-0.582812,0.15128,15.3487,0.0725288,0.0130175,0.000869585,0.000681067,-1.79e-05,-2.66e-05,272.336,18.2983,272.335765,18.297777,-9.0,-102.666,250,0.0907109,10.9028,0.001,57808.2,0.1872,7,9.01701,0.25144,0.0795,0.1032,-0.0586,0.002,1.0,0.019
