snid,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
SN2016coj,150,0.0057,0.00084,0.00489,6e-05,0.00452,6e-05,12.6455,0.482914,31.8985,0.483668,-9.0,0,0,-0.006916,0.034309,-1.47692,0.085215,12.8717,0.0394491,0.12744,0.00463056,-0.000107973,-4.15e-05,-0.000136764,182.028,65.1772,-999.0,-999.0,-9.0,-242.803,250,0.016304,11.036,0.0,57548.1,0.1118,11,29.9128,0.00163532,0.0772,0.3209,-0.0227,0.002,1.0,0.006
2019np,150,0.00648,0.00084,0.0055,0.0,0.00452,0.0,13.1808,0.321157,32.4338,0.32229,32.3302,1,0,-0.025372,0.029598,0.11384,0.074387,13.1161,0.0358983,0.10176,0.00336454,-0.000187854,-1.26e-06,-8.79e-05,157.342,29.5106,157.33308,29.49183,-9.0,-289.936,250,0.0172714,10.63,-9.0,58510.4,0.0507,66,66.0811,0.47404,0.0645,0.2824,-0.0219,0.003,1.0,0.004
ASASSN-15so,150,0.00857,0.00084,0.00773,1e-05,0.00702,1e-05,13.4997,0.266214,32.7527,0.26758,32.8026,1,0,-0.055198,0.032438,-0.714413,0.078954,13.4883,0.0382032,0.0722262,0.00254138,-0.000243409,-9.99e-06,-7.14e-05,168.546,48.3187,168.545385,48.318615,-9.0,-249.339,250,0.01263,10.95,0.001,57345.3,0.1667,19,40.9933,0.00241842,0.0727,0.2137,0.0014,0.002,1.0,0.003
SN2017jl,150,0.01525,0.00096,0.01529,0.00044,0.01633,0.00044,14.5176,0.300982,33.7706,0.30219,-9.0,0,0,-0.002342,0.034183,0.60274,0.12175,14.5129,0.0557691,0.0281099,0.00144387,8.69e-05,-1.37e-05,-3.94e-05,14.3829,30.1852,14.381299,30.185952,-9.0,11.8215,250,0.0632005,8.7366,0.008,57784.9,0.1053,8,5.71435,0.67919,0.0726,0.1377,0.039,0.002,1.0,0.013
ASASSN-16ad,150,0.01529,0.00085,0.01522,1e-05,0.01613,1e-05,14.7804,0.343245,34.0334,0.344305,-9.0,0,0,0.013618,0.03263,0.10511,0.073274,14.9033,0.045574,0.0196182,0.00082348,-0.000200488,2.75e-07,-2.2e-05,24.8836,33.8268,24.879896,33.824406,-9.0,-21.2326,250,0.0421356,8.61292,0.002,57406.4,0.0893,14,38.575,0.000424132,0.071,0.1216,0.0439,0.002,1.0,0.016
iPTF16auf,150,0.01543,0.00085,0.01566,0.0,0.01502,0.0,14.8214,0.313702,34.0744,0.314862,-9.0,0,0,0.048315,0.031022,0.046602,0.085019,15.0843,0.0366445,0.0166059,0.000560464,2.73e-05,-3.19e-06,-1.52e-05,217.788,27.236,217.787446,27.237292,-9.0,68.1596,250,0.0130772,9.05163,0.017,57538.1,0.0959,16,65.9142,5.13e-08,0.0678,0.1205,0.068,0.003,1.0,0.023
ASASSN-15oh,150,0.01587,0.00085,0.01579,0.00011,0.01683,0.00011,15.1386,0.26899,34.3916,0.270341,-9.0,0,0,0.027876,0.047496,-1.58413,0.17332,15.4733,0.0973778,0.011606,0.00104092,0.000668426,-5.73e-05,-3.85e-05,337.675,39.2932,337.671253,39.291867,-9.0,-24.6285,250,0.12766,10.1993,0.006,57255.9,0.2244,19,32.6009,0.0267151,0.1021,0.1172,-0.0376,0.001,1.0,0.009
SN2016gfr,150,0.01671,0.00086,0.0163,0.00012,0.01669,0.00012,14.6455,0.243894,33.8985,0.245383,-9.0,0,0,-0.02286,0.037602,0.12662,0.11111,14.6347,0.0828091,0.025127,0.00191643,-0.000225813,1.64e-06,-5.73e-05,274.898,23.7862,274.898621,23.787149,-9.0,-122.825,250,0.11479,9.56317,0.006,57657.6,0.1821,8,16.0907,0.0410999,0.0743,0.1127,0.0261,0.001,1.0,0.009
PSNJ0107203,150,0.01682,0.00085,0.01601,4e-05,0.01701,4e-05,14.7143,0.283124,33.9673,0.284408,-9.0,0,0,-0.099458,0.041404,-1.98709,0.19122,14.792,0.0590802,0.0217364,0.00118278,0.00050503,-4.29e-05,-3.8e-05,16.8346,32.3997,16.853995,32.412559,-9.0,-240.34,250,0.0595594,11.0223,0.001,57352.0,0.1671,11,12.4795,0.3287,0.0954,0.1107,0.0397,0.001,1.0,0.003
ASASSN-15ti,150,0.01692,0.00085,0.01671,6e-05,0.01732,6e-05,15.2364,0.309138,34.4894,0.310314,-9.0,0,0,-0.042266,0.041071,-1.47904,0.10914,15.4053,0.0921956,0.0123566,0.00104926,7.15e-05,-1.18e-05,-3.42e-05,46.2858,37.9,46.29421,37.9,-9.0,-61.2857,250,0.12944,8.44463,0.001,57364.1,0.1956,11,7.75279,0.73526,0.081,0.11,0.0289,0.002,1.0,0.007
