snid,Discovery Mag,Redshift,Filter ,Following?,TNS class,Got Template?,CCD,RA,DEC,Comment,DEVENY COMMENT,WiFeS Spectrum of transient,Following up with time-series spectroscopy,WiFeS Host Spectrum (after SN has faded from view),Classification Comment,Get With DeVenny,Host Name ,Host Redshift,Separation [arcmin] ,Host Mag,Host Mag Filter,Host Name 2,Host Redshift 2,Separation 2 [arcmin],Host Mag 2,Host Mag Filter 2,Host Name 3,Host Redshift 3,Separation 3 [arcmin],Host Mag 3,Host Mag Filter 3,Days since first obs,Days since Discovery,Discovery Source,Mat Comment,YSE Field,MWEBV,Galaxy Type,discovery date,first obs date,Class Group,Comment.1,set date,estimated peak,Days since Peak,link
2021dha,19.623,0.080206,g-ZTF,FINISHED,spec ia,NO,9,172.9102667,14.0762639,,,,,Reduced z=0.0805 (qop=4),,,SDSS J113137.85+140438.4,0.080131,0.159,16.8,g,,,,,,,,,,,99.0,"1,251",ZTF,,523.D.a,0.0318,Spiral?,2021-02-17 9:54:05,2021-02-19,UCSC,,,,,
2021dev,19.4876,0.054224,g-ZTF,FINISHED,spec ia ,YES,11,162.6006244,0.9269222,,,,,Reduced z=0.0543 (qop=4),,,,0.054224,,,,,,,,,,,,,,99.0,"1,251",ZTF,,418.F.a,0.0421,Elliptical,2021-02-17 7:37:31,2021-02-19,ZTF,,,,,
2021ckc,20.5197,0.053072,g-ZTF,FINISHED,spec ia,NO,6? pointing issue,178.6487242,25.3834417,,,,,Reduced z=0531 (qop=4),,,,0.053072,,,,,,,,,,,,,,99.0,"1,261",ZTF,,575.B.a,0.0147,Elliptical,2021-02-07 11:45:39,2021-02-19,ZTF,,,,,
2021dch,18.244,0.020165,cyan-ATLAS,YES,spec ia,NO,22? pointing issue,196.3490056,29.509636,,,,,,,,WISEA J130523.61+293037.2,0.020137,0.057,16.7,g,,,,,,,,,,,99.0,"1,252",ATLAS,,577.A.21inl_21dch,0.01,Elliptical,2021-02-16 11:48:29,2021-02-19,SCAT,,,,,
2021dnl,19.418,0.0556,r-ZTF,FINISHED,spec ia,NO,53,221.762429,0.475708,,,,,,,,SDSS J144704.01+002844.6,0.0558111,0.324,15.9,g,,,,,,,,,,,99.0,"1,248",ZTF,,415.A.a,0.0374,spiral,2021-02-20 8:36:03,2021-02-23,TCD,,,,,
2021dov,18.14,0.012797,g-ZTF,FINISHED,spec ia,YES,29,134.0779465,-0.4421419762,,,,,Observed,,,CGCG 005-038,0.012698,0.039,15.2,g,,,,,,,,,,,99.0,"1,246",ZTF,,415.B.a,0.0299,Elliptical?,2021-02-22 6:36:00,2021-02-23,SCAT,,,,,
2021dep,17.0,0.036805,g-Sloan,YES,spec ia,NO,42,211.0527318,27.62614525,,,,,,,,KUG 1401+278,0.036805,0.029,15.5,g,,,,,,,,,,,99.0,"1,250",ASAS-SN,,674.E.a,0.0207,spiral,2021-02-18 8:52:48,2021-02-26,ASAS-SN,,,,,
2021ddh,18.939,0.036,cyan-ATLAS,FINISHED,spec ia,YES,36,129.8713198,-1.408058568,,,,,Observed,,,2MASS J08392876-0124365,0.045819,0.067,?,?,,,,,,,,,,,99.0,"1,251",ATLAS,,415.A.b,0.0283,spiral,2021-02-17 10:12:00,2021-02-23,TCD,,,,,
2021dcu,18.266,0.041798,cyan-ATLAS,FINISHED,spec ia,NO,42,242.0259532,25.48373103,,,,,,,,list both ,-,,,,,,,,,,,,,,99.0,"1,251",ATLAS,,632.C.a,0.0487,Elliptical?,2021-02-16 13:45:07,2021-02-23,TCD,,,,,
2021dlb,18.5278,0.033416,g-ZTF,FINISHED,spec ia,NO,41,223.2790397,3.537317514,,,,,,,,2MASX J14530723+0332171,0.033416,0.097,16.2,g,,,,,,,,,,,99.0,"1,248",ZTF,,428.B.a,0.0349,Elliptical,2021-02-20 10:08:32,2021-02-26,SCAT,,,,,
2021drc,18.58,0.040571,r-ZTF,YES,spec ia,NO,47,171.9545038,21.38672869,,,,,,,,UGC 06461,0.040623,0.041,16.44,no filter ,,,,,,,,,,,99.0,"1,245",ZTF,,?,0.0198,Spiral?,2021-02-23 8:28:19,2021-02-23,ZTF,,,,,https://www.wis-tns.org/object/2021hku
2021hem,19.9872,0.035,r-ZTF,FINISHED,spec ia,NO,40,245.3167114,14.5526557,,,,,,,,Ambiguous!,-,,,,,,,,,,,,,,99.0,"1,216",ZTF,,583.A.a,0.0501,Elliptical?,2021-03-24 10:05:20,2021-03-30,,,,,,
2021hjb,18.785,0.06651,orange-ATLAS,FINISHED,spec ia,YES,22,133.9395421,16.9246338,,,,,,,,WISEA J085545.48+1655,-,,,,,,,,,,,,,,99.0,"1,210",ATLAS,"the classification is 'robotic', with a 92% accuracy rate",?,0.0182,Elliptical,2021-03-30 7:52:19,2021-03-30,ZTF,reddened?,,,,
2021hiz,17.7093,0.003319,g-ZTF,FINISHED,spec ia,NO,23,186.4236464,7.228405121,,,,,,,,,0.003319,,,,,,,,,,,,,,99.0,"1,210",ZTF,,?,0.0221,Spiral,2021-03-30 8:36:49,2021-03-30,UCSC,SHARED with YSE,,,,
2021ghc,19.669,0.046217,orange-ATLAS,FINISHED,spec ia,YES,34,149.1374525,0.752317185,,,,,,,,WISEA J095633.55+004503.0,0.046171,0.156,17.3,g,,,,,,,,,,,99.0,"1,221",ATLAS,,?,0.0223,Elliptical,2021-03-19 8:44:10,2021-03-21,SIRAH,,,,,
2021fqb,20.4,0.035,L-GOTO,FINISHED,spec ia,YES,49,227.774625,5.107269,,,,,,,,WISEA J151106.56+050633.5,0.034487,0.163,-,-,,,,,,,,,,,99.0,"1,226",GOTO,,?,0.0423,Elliptical,2021-03-14 4:19:22,2021-03-21,GOTO,,,,,
2021gwa,20.1448,0.07036,g-ZTF,FINISHED,spec ia,YES,23,235.6545,6.854539,,,,,,,,WISEA J154237.48+065124.5,0.070356,0.175,16.7,g,,,,,,,,,,,99.0,"1,222",ZTF,,?,0.0405,2 Ellipticals?!,2021-03-18 11:59:44,2021-03-23,ZTF,,,,,
2021gez,19.72,0.03206,cyan-ATLAS,FINISHED,spec ia,NO,6,245.5417896,21.22222736,,,,,,,,2MFGC 13136,0.03207,0.244,16.6,g,,,,,,,,,,,99.0,"1,221",ATLAS,,583.F.a,0.0438,Elliptical?,2021-03-18 13:23:31,2021-03-23,ZTF,,,,,
2021gqc,18.95,0.047,orange-ATLAS,FINISHED,spec ia,NO,43,226.949792,-10.247161,,,,,,,YES,WISEA J150747.95-101449.7,0.098673,0.002,-,-,,,,,,,,,,,99.0,"1,220",ATLAS,,?,0.092,Elliptical,2021-03-19 12:12:58,2021-03-23,ZTF,,,,,
2021hji,19.9553,0.057,g-ZTF,FINISHED,spec ia,NO,41,252.171356,21.99722575,,,,,,,,WISEA J164841.04+215950.8,0.057669,0.022,17.9,g,,,,,,,,,,,99.0,"1,212",ZTF,,?,0.0489,Eliptical maybe ,2021-03-28 11:35:12,2021-04-05,ePESSTO+,,,,,
2021ibo,19.26,0.058,r-ZTF,FINISHED,spec ia,YES,23,136.1089968,8.012786188,,,,,,,YES,SDSS J090424.81+080027.2,-,0.457,19.2,g,,,,,,,,,,,99.0,"1,207",ZTF,,,0.0459,?,2021-04-02,2021-04-08,ZTF,,,,,
2021ihz,19.9694,0.06976,r-ZTF,FINISHED,spec ia,NO,52,228.3638399,25.20666325,,,,,,,,,0.069972,,,,,,,,,,,,,,99.0,"1,206",ZTF,,,0.0447,Spiral,2021-04-03,2021-04-08,SIRAH,,,,,
2021ipb,20.992,0.036912,g-ZTF,FINISHED,spec ia,NO,9,240.8874486,14.55224117,,,,,,,,WISEA J160330.44+143334.4,0.036914,0.755,16.2,-,,,,,,,,,,,99.0,"1,203",ZTF,,,0.0418,Elliptical?,2021-04-06,2021-04-08,ZTF,,,,,
2021igt,19.712,0.075382,cyan-ATLAS,YES,spec ia,NO,54,191.2505377,21.14171747,,,,,,,,WISEA J124459.99+210831.,0.075355,0.042,18.85,-,,,,,,,,,,,99.0,"1,204",ATLAS,,,0.0351,Elliptical,2021-04-05 9:17:17,2021-04-11,ZTF,,,,,
2021inj,19.3333,0.041,g-ZTF,FINISHED,spec ia,NO,16,241.4124943,3.071941517,,,,,,,YES,UGC 10184,0.040995,0.064,15.67,-,,,,,,,,,,,99.0,"1,202",ZTF,,,0.0839,Spiral,2021-04-07 10:36:17,2021-04-11,ePESSTO+,,,,,
2021iuk,19.769,0.08,cyan-ATLAS,FINISHED,spec ia,NO,43,186.4935911,6.740841507,,,,,,,YES BUT NEED TO FIND HOST,cb,-,,,,,,,,,,,,,,99.0,"1,200",ATLAS,,,0.02,Elliptical?,2021-04-09 10:27:50,2021-04-14,UCSC,,,,,
2021jwl,20.3337,0.038,r-ZTF,FINISHED,spec ia,NO,20,233.8927522,5.392282441,,,,,,,,WISEA J153534.43+052335.0,0.038522,0.068,16.3,g,,,,,,,,,,,99.0,"1,196",ZTF,,,0.0536,Spiral,2021-04-13 10:29:04,2021-04-17,ePESSTO+,,,,,
2021jvs,18.9906,0.021,g-ZTF,FINISHED,spec ia,NO,37,224.4366965,6.6243519,,,,,,,,*UGC 09625,0.026892,0.021469,14.44,-,,,,,,,,,,,99.0,"1,193",ZTF,,531.2021jvs.a,0.0288,Spiral,2021-04-16 8:43:58,2021-04-17,ePESSTO+,,,,,
2021jkd,20.2267,0.077,g-ZTF,FINISHED,spec ia,NO,16,232.5318687,-0.565278137,,,,,,,,WISEA J153007.52-003359.4,0.077165,0.083,17.6,g,,,,,,,,,,,99.0,"1,199",ZTF,,428.F.a,0.09,Elliptical,2021-04-10 9:33:39,2021-04-17,YSE,,,,,
2021jys,19.272,0.036,orange-ATLAS,FINISHED,spec ia,NO,23,135.3058235,10.43738805,,,,,,,,WISEA J090113.55+102613.4,0.036157,0.045,17.8,g,,,,,,,,,,,99.0,"1,192",ATLAS,,,0.0293,Elliptical,2021-04-17 6:37:26,2021-04-20,ZTF,,,,,
2021kpu,19.048,0.069,orange-ATLAS,FINISHED,spec ia,NO,20,231.09059,22.42031,,,,,,,YES,SDSS J152219.81+224054.9,-,0.033,19.5,g,,,,,,,,,,,99.0,"1,179",ATLAS,,583.2021kpu.a,0.0387,Elliptical,2021-04-29 12:33:07,2021-05-02,ZTF,,,,,
2021kom,17.978,0.04505,orange-ATLAS,FINISHED,spec ia,NO,17,156.2094917,3.562125,,,,,,,,2MASX J10245051+0333446,0.045052,0.069,16.6,g,,,,,,,,,,,99.0,"1,181",ATLAS,,,0.0293,Elliptical?,2021-04-28 8:51:22,2021-05-05,SCAT,,,,,
2021kly,18.8382,0.04423,r-ZTF,FINISHED,spec ia,NO,54,126.2581417,13.5348083,,,,,,,,CGCG 060-010,0.04420635,0.202,15.1,-,,,,,,,,,,,99.0,"1,185",ZTF,,,0.0368,Spiral,2021-04-24 4:11:40,2021-05-05,ZTF,,,,,
2021kut,19.4724,0.0313620009,r-ZTF,FINISHED,spec ia,NO,57,157.8740542,6.2426417,,,,,,,,2MASX J10312956+0614383,0.031259,0.076,16.3,g,,,,,,,,,,,99.0,"1,178",ZTF,,468.F.2021jut,0.0248,Spiral,2021-05-01 4:05:46,2021-05-05,ZTF,,,,,
2021law,19.746,0.057679,r-ZTF,FINISHED,spec ia,YES,54,141.0346583,3.9352694,,,,,Observed,,,WISEA J092408.59+035605.2,0.0576505,0.057651,16.1,g,,,,,,,,,,,99.0,"1,177",ZTF,,,0.0311,Elliptical,2021-05-02 5:00:23,2021-05-05,?,,,,,
2021kxf,20.1151,0.078971,g-ZTF,FINISHED,spec ia,NO,58,204.4481125,1.3292694,,,,,,,,WISEA J133747.75+011946.8,0.078971,0.062,17.7,g,,,,,,,,,,,99.0,"1,177",ZTF,,,0.0208,Spiral?,2021-05-02 6:34:38,2021-05-05,?,,,,,
2021kbj,20.63,0.13,r-Sloan,YES,spec ia,NO,,238.5924249,24.4904165,,,,,,,,WISEA J155421.37+243039.2,0.290611,1.24,19.5,g,,,,,,,,,,,99.0,"1,177",Pan-STARRS1,,632.A,0.0382,Elliptical,2021-05-02,2021-05-02,YSE,,,,,
2021log,20.0874,0.14,g-ZTF,FINISHED,spec ia,NO,,229.8669292,13.8495111,,,,,,,,WISEA J151925.93+135107.7,0.073931,0.533,17.2,g,,,,,,,,,,,99.0,"1,174",ZTF,,531.D,0.0355,Elliptical,2021-05-05 8:58:36,2021-05-05,?,,,,,
2021lat,19.07,0.0338979997,r-ZTF,YES,spec ia,NO,5,220.224125,24.9716583,,,,,,,,WISEA J144053.33+245814.4,0.033857,0.118,16.8,g,,,,,,,,,,,99.0,"1,175",ZTF,,629.A.2021lat,0.0245,Elliptical,2021-05-04 9:26:39,2021-05-08,ZTF,,,,,
2021low,19.86,0.021958,r-ZTF,YES,spec ia,NO,54,176.1927667,20.1262,,,,,,,,UGC 06719,0.021946,0.195,14.44,-,,,,,,,,,,,99.0,"1,173",ZTF,,575.B.a,0.021,Spiral,2021-05-06 5:35:31,2021-05-05,Global SN Project,,,,,
2021lxb,21.46,0.0259,g-Sloan,YES,spec ia,NO,28,195.4943601,28.00854142,,,,,,,,NGC 4927,0.025748,0.282,14.4,g,,,,,,,,,,,99.0,"1,170",Pan-STARRS1,,577.A.21inl_21lxb,0.0076,Elliptical,2021-05-09 6:33:07,2021-05-11,UCSC,,,,,
2021yrz,20.77,0.068,g-ZTF,YES,spec ia,NO,22,338.9579292,20.0756167,,,,,Observed,,,WISEA J223547.48+200526.2,0.392033,1.064,-,-,WISEA J223545.50+200313.7,0.392095,1.668,-,-,,,,,,99.0,"1,046",ZTF,,-,0.0373,Elliptical?,2021-09-10 5:11:02,2021-09-16,ZTF,,,,,
2021zax,19.3286,0.04,r-ZTF,YES,spec ia,NO,30,334.2772083,13.3664361,setting,,,,Observed,,,ARK 556,0.088061,0.163,15.6,-,,,,,,,,,,,99.0,"1,040",ZTF,,-,0.0648,Elliptical,2021-09-16 10:04:38,2021-09-22,ZTF,,,,,
2021zfs,16.195,0.019623,orange-ATLAS,YES,spec ia,NO,19,323.1242917,5.3463,,,,,Observed,,,WISEA J213229.84+052046.4,0.019623,0.003,14.22,-,,,,,,,,,,,99.0,"1,035",ATLAS,,-,0.0569,Elliptical,2021-09-21 9:20:10,2021-09-22,,,,,,
2021zdx,19.12,0.0715,w-P1,FINISHED,spec ia,NO,30,46.7690667,-15.4262806,,,SN Ia at z=0.0715,,,,,WISEA J030704.58-152529.7,0.087544,0.097,17.8,-,,,,,,,,,,,99.0,"1,037",Pan-STARRS1,,-,0.0359,Elliptical??,2021-09-18 13:56:38,2021-09-23,ZTF,,,,,
2021zfr,19.57,0.032,r-ZTF,FINISHED,spec ia,NO,15,45.131475,-14.9557111,,,,,"Reduced, z=0.03147",,,WISEA J014523.21-424201.6,0.062277,0.017,17.89,-,,,,,,,,,,,99.0,"1,036",ZTF,,-,0.0518,Spiral?,2021-09-20 9:36:00,2021-09-28,ZTF,,,,,
2021aatq,19.028,0.06,orange-ATLAS,FINISHED,spec ia,NO,1,114.1306625,-1.5881806,,,SN Ia at z=0.0577,,,,,*WISEA J073630.70-013518.0,0.070154,0.157,-,-,,,,,,,,,,,99.0,"1,018",ATLAS,,-,0.1053,Spiral,2021-10-07 14:05:17,2021-10-10,ePESSTO+	,,,,,
2021abko,16.9,0.015908,g-Sloan,YES,spec ia,NO,20,30.5301625,23.5501722,,,,,Observed,,,IC 0190,0.015908,0.026,15.1,-,,,,,,,,,,,99.0,"1,011","ASAS-SN
",,-,0.0745,Elliptical,2021-10-14 12:28:48,2021-10-16,ePESSTO+	,,,,,
