snid,Discovery Mag,Redshift,Filter ,Following?,TNS class,Got Template?,CCD,RA,DEC,Comment,DEVENY COMMENT,WiFeS Spectrum of transient,Following up with time-series spectroscopy,WiFeS Host Spectrum (after SN has faded from view),Classification Comment,Get With DeVenny,Host Name ,Host Redshift,Separation [arcmin] ,Host Mag,Host Mag Filter,Host Name 2,Host Redshift 2,Separation 2 [arcmin],Host Mag 2,Host Mag Filter 2,Host Name 3,Host Redshift 3,Separation 3 [arcmin],Host Mag 3,Host Mag Filter 3,Days since first obs,Days since Discovery,Discovery Source,Mat Comment,YSE Field,MWEBV,Galaxy Type,discovery date,first obs date,Class Group,Comment.1,set date,estimated peak,Days since Peak,link
2021cyn,20.45,0.06,g-ZTF,FINISHED,spec ia,YES,36,123.4545647,-12.1159861,,,,,Reduced z=0.0549 (qop=4),,,WISEA J081348.85-120658.8,0.04441,0.046,15,I,,,,,,,,,,,99.0,"1,259",ZTF,,415.A.a,0.0819,Elliptical?,2021-02-09 6:34:34,2021-02-19,ZTF,,,,,
2021hjc,18.81,0.05369,r-ZTF,FINISHED,spec ia,YES,10,141.3886776,-24.7649249,,,,,Observed,,,WISEA J092533.21-244552.5,0.053694,0.028,14.5,I,,,,,,,,,,,99.0,"1,210",ZTF,,?,0.0766,?,2021-03-30 5:32:38,2021-03-30,?,,,,,
2021grd,18.7988,0.053447,r-ZTF,FINISHED,spec Ia,YES,11,129.4269574,-11.1879023,,,,,,,,WISEA J083742.46-111117.5,0.053447,0.028,16.31,,,,,,,,,,,,99.0,"1,222",ZTF,,?,0.0423,Elliptical,2021-03-18 5:17:47,2021-03-21,?,,,,,
2021fna,19.135,0.079,orange-ATLAS,FINISHED,spec ia,YES,9,154.0947855,-23.1994468,,,,,,,YES,WISEA J101622.90-231159.4,0.086183,0.047,-,-,,,,,,,,,,,99.0,"1,226",ATLAS,,?,0.0555,Elliptical,2021-03-14 8:15:22,2021-03-23,ePESSTO+,,,,,
2021gkb,19.5326,0.06939,g-ZTF,FINISHED,spec ia,NO,30,164.4807248,-13.7907718,,,,,Observed,,,WISEA J105755.42-134727.2,0.069395,0.02,16.31,-,,,,,,,,,,,99.0,"1,221",ZTF,,?,0.0399,Elliptical,2021-03-19 6:33:13,2021-03-24,ZTF,,,,,
2021fxy,16.9,0.0094,Clear-,FINISHED,spec ia,YES,34,198.2565721,-19.51251762,,,,,,,,NGC 5018,0.009393,0.361,11.2,B,,,,,,,,,,,99.0,"1,222",NONE?,,423.E.a.2021fxy,0.0817,Elliptical,2021-03-17 17:23:37,2021-03-21,SIRAH,,,,,
2021foh,18.2,0.022,orange-ATLAS,FINISHED,spec ia,NO,41,200.1703818,-17.10931636,,,,,,,YES,CLEAR HOST BUT NOT IN NED,-,,,,,,,,,,,,,,99.0,"1,225",ATLAS,,?,0.0745,Elliptical,2021-03-15 10:50:53,2021-03-23,ePESSTO+,,,,,
2021fof,18.35,0.04,orange-ATLAS,FINISHED,spec ia,NO,17,212.0533103,-8.832710317,,,,,,,YES,Not avaliable ,-,,,,,,,,,,,,,,99.0,"1,225",ATLAS,,?,0.0351,Elliptical,2021-03-15 11:58:34,2021-03-21,SCAT,,,,,
2021gwn,18.031,0.048,orange-ATLAS,FINISHED,spec ia,YES,48,161.79996,-29.38623,,,,,,,,WISEA J104712.11-292310.8,0.059331,0.041,16.3,b,,,,,,,,,,,99.0,"1,218",ATLAS,,?,0.0608,Elliptical,2021-03-22 10:04:48,2021-03-27,SCAT,,,,,
2021hup,18.78,0.049,g-ZTF,FINISHED,spec ia,NO,5,178.5248434,-6.6015876,,,,,,,YES,LCRS B115132.4-061924,-,0.027,17.21,-,,,,,,,,,,,99.0,"1,208",ZTF,,,0.0288,Elliptical,2021-04-01,2021-04-08,ZTF,,,,,
2021ipf,19.581,0.055735,g-ZTF,FINISHED,spec ia,NO,40,174.460788,-7.228356,,,,,,,,WISEA J113750.66-071339.4,0.055735,0.027,16.46,-,,,,,,,,,,,99.0,"1,203",ZTF,,,0.0242,Elliptical,2021-04-06,2021-04-08,ePESSTO+,,,,,
2021hwk,18.9903,0.041,r-ZTF,FINISHED,spec ia,NO,11,214.7613339,-7.3905934,,,,,,,YES,LEDA 1019808,-,0.033,16.94,-,,,,,,,,,,,99.0,"1,206",ZTF,,,0.041,Elliptical,2021-04-03,2021-04-08,ePESSTO+,,,,,
2021ill,19.242,0.056,cyan-ATLAS,FINISHED,spec ia,YES,29,139.938917,-30.877989,,,,,,,YES,2MFGC 07241,-,0.004,13.7,K,,,,,,,,,,,99.0,"1,202",ATLAS,,,0.1489,Elliptical?,2021-04-07 7:29:17,2021-04-11,ePESSTO+,,,,,
2021ify,20.4655,0.056,r-ZTF,YES,spec ia,NO,27,261.7237293,13.17884771,,,,,,,YES,WISEA J172652.60+131037.8,0.073684,0.276,-,,,,,,,,,,,,99.0,"1,206",ZTF,,,0.1278,Elliptical,2021-04-03 11:06:15,2021-04-11,ePESSTO+,,,,,
2021iov,19.297,0.053944,cyan-ATLAS,FINISHED,spec ia,YES,34,141.6618652,-7.087174,,,,,,,,WISEA J092638.51-070514.7,0.053944,0.085,15.7,R,,,,,,,,,,,99.0,"1,201",ATLAS,,,0.0331,Spiral,2021-04-08 7:58:05,2021-04-14,ZTF,,,,,
2021jad,15.419,0.0055,cyan-ATLAS,FINISHED,spec ia,YES,36,83.342405,-21.95181813,,,,,,,,NGC 1964,0.00554,0.377,11.58,-,,,,,,,,,,,99.0,"1,198",ATLAS,,257.B.a,0.0298,Spiral,2021-04-11 5:36:58,2021-04-12,ePESSTO+,,,,,
2021jap,20.5412,0.03,g-ZTF,FINISHED,spec ia,NO,6,163.7665753,-8.7458692,,,,,Observed,,YES,LEDA 999713,,,20.5412,-,,,,,,,,,,,99.0,"1,200",ZTF,,,0.0336,Elliptical,2021-04-09 5:33:53,2021-04-14,ZTF,,,,,
2021juw,18.59,0.039,G-Gaia,FINISHED,spec ia,YES,33,296.771708,-20.2032,,,,,,,,ESO 594- G 016,0.039244,0.144,14.3,R,,,,,,,,,,,99.0,"1,196",GaiaAlerts,,,0.0747,Elliptical,2021-04-12 14:58:34,2021-04-17,ePESSTO+,,,,,
2021jze,19.19,0.0471,g-Sloan,FINISHED,spec ia,NO,10,154.972375,-3.7354,,,,,,,,WISEA J101952.89-034405.8,0.046455,0.093,15.05,-,,,,,,,,,,,99.0,"1,193",Pan-STARRS1,,418.A.a,0.0381,Elliptical?,2021-04-16 6:02:53,2021-04-21,UCSC,,,,,
2021khn,19.247,0.072,orange-ATLAS,FINISHED,spec ia,NO,5,195.7992455,-6.663225455,,,,,,,YES,LCRS B130036.3-062348,-,0.132,17.9,-,,,,,,,,,,,99.0,"1,190",ATLAS,,,0.0335,Elliptical,2021-04-19 9:40:19,2021-04-27,TCD,,,,,
2021knh,18.445,0.03,g-ZTF,FINISHED,spec ia,YES,40,137.5359706,-27.62405638,,,,,,,,not avaliable ,-,,,,,,,,,,,,,,99.0,"1,184",ZTF,,,0.1271,Elliptical,2021-04-25 4:04:12,2021-04-28,?,,,,,
2021koq,17.84,0.020538,orange-ATLAS,YES,spec ia,NO,17,274.0042325,6.7517646,,,,,Observed,,,UGC 11177,0.020534,0.504,13.7,-,,,,,,,,,,,99.0,"1,184",ATLAS,,,0.1804,Elliptical,2021-04-25 7:27:56,2021-05-01,?,,,,,
2021kre,18.9832,0.07692,g-ZTF,FINISHED,spec ia,NO,6,206.2201375,-7.1171167,,,,,,,,WISEA J134452.28-070706.0,0.07692,0.156,17.33,-,,,,,,,,,,,99.0,"1,179",ZTF,,,0.0323,Elliptical,2021-04-30 5:06:45,2021-05-05,?,,,,,
2021lnf,18.34,0.038934,r-ZTF,FINISHED,spec ia,YES,37,144.5076958,-16.8587639,,,,,Observed,,,WISEA J093801.78-165133.0,0.038934,0.037,16.3,-,,,,,,,,,,,99.0,"1,175",ZTF,,365.A,0.0608,Elliptical i guess,2021-05-04 3:59:02,2021-05-08,ZTF,,,,,
